# Run complete. Total time: 06:38:31

Benchmark                                                                                                                                  (fileUnderTest)  Mode  Samples        Score        Error  Units
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     3570.259 ±   1260.933  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    13950.523 ±   3802.035  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   152910.894 ±  38292.952  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_DeqOnly                                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1646973.538 ± 138538.823  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5530.399 ±   2124.675  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    21198.422 ±   5636.959  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   228511.561 ±  35537.021  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqAndDeqSimultaneously                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2368928.698 ± 231990.592  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                                       src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     4575.471 ±   1774.046  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                                      src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    10458.536 ±   5462.655  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                                     src/bench/benchCases/AscendingOrder_100000.txt  avgt       20    63315.463 ±  23566.276  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqOnly                                    src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20   576538.195 ±  63567.546  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                                    src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     6522.265 ±   4444.767  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                                   src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    18816.444 ±   9384.576  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                                  src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   183336.299 ±  19629.118  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_32Threads_EnqThenDeq                                 src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1944529.305 ±  49789.307  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     2532.480 ±   1033.825  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    11234.730 ±   6129.896  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   123823.117 ±  12901.596  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_DeqOnly                                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1235507.843 ±  55412.155  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5160.966 ±   2160.821  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    18642.652 ±   9436.993  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   199563.693 ±  34135.053  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqAndDeqSimultaneously                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2132804.900 ± 196898.925  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     4492.980 ±   2463.074  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    12614.883 ±   9460.248  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20    62470.787 ±  20744.525  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqOnly                                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20   685469.577 ± 111947.913  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqThenDeq                                     src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     6737.260 ±   2610.733  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqThenDeq                                    src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    32740.461 ±  17136.241  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqThenDeq                                   src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   196083.001 ±  22416.748  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_4Threads_EnqThenDeq                                  src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  2264795.512 ± 173493.903  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_DeqOnly                                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     3061.631 ±   1175.359  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_DeqOnly                                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    15820.011 ±  11438.778  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_DeqOnly                                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   152504.834 ±  22937.433  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_DeqOnly                                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  1486396.770 ±  91196.250  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqAndDeqSimultaneously                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20    10930.152 ±  10944.153  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqAndDeqSimultaneously                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    31375.344 ±   9593.163  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqAndDeqSimultaneously                      src/bench/benchCases/AscendingOrder_100000.txt  avgt       20   332188.657 ±  47638.400  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqAndDeqSimultaneously                     src/bench/benchCases/AscendingOrder_1000000.txt  avgt       20  3584286.825 ± 856372.893  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqOnly                                        src/bench/benchCases/AscendingOrder_1000.txt  avgt       20     5379.656 ±   3150.895  us/op
b.BenchMarkBestCase.benchCoarseLockBasedPriorityQueue_8Threads_EnqOnly                                       src/bench/benchCases/AscendingOrder_10000.txt  avgt       20    12640.601 ±   2907.364  us/op
